source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"AMF Tjanstepension AB Has $394.57 Million Stock Holdings in Amazon.com, Inc. (NASDAQ:AMZN)","AMF Tjanstepension AB raised its holdings in Amazon.com, Inc. (NASDAQ:AMZN) by 4.1% during the 1st quarter, according to the company in its most recent disclosure with the SEC. The firm owned 2,187,415 shares of the e-commerce giant’s stock after buying an ad…",https://www.etfdailynews.com/2024/07/04/amf-tjanstepension-ab-has-394-57-million-stock-holdings-in-amazon-com-inc-nasdaqamzn/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/amazoncom-inc-logo-1200x675.jpg&w=240&h=240&zc=2,2024-07-04T09:38:42Z,"AMF Tjanstepension AB raised its holdings in Amazon.com, Inc. (NASDAQ:AMZN) by 4.1% during the 1st quarter, according to the company in its most recent disclosure with the SEC. The firm owned 2,187,4… [+6121 chars]"
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"LongView Wealth Management Reduces Holdings in Amazon.com, Inc. (NASDAQ:AMZN)","LongView Wealth Management lowered its holdings in shares of Amazon.com, Inc. (NASDAQ:AMZN – Free Report) by 1.4% in the first quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission. The fund owned 19,…",https://www.etfdailynews.com/2024/07/04/longview-wealth-management-reduces-holdings-in-amazon-com-inc-nasdaqamzn/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/amazoncom-inc-logo-1200x675.jpg&w=240&h=240&zc=2,2024-07-04T09:38:41Z,"LongView Wealth Management lowered its holdings in shares of Amazon.com, Inc. (NASDAQ:AMZN – Free Report) by 1.4% in the first quarter, according to the company in its most recent Form 13F filing wit… [+6532 chars]"
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"Powell Investment Advisors LLC Sells 547 Shares of Amazon.com, Inc. (NASDAQ:AMZN)","Powell Investment Advisors LLC cut its holdings in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 1.8% during the 1st quarter, according to its most recent 13F filing with the Securities and Exchange Commission (SEC). The institutional investor owned 30,494 shar…",https://www.etfdailynews.com/2024/07/04/powell-investment-advisors-llc-sells-547-shares-of-amazon-com-inc-nasdaqamzn/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/amazoncom-inc-logo-1200x675.jpg&w=240&h=240&zc=2,2024-07-04T09:38:41Z,"Powell Investment Advisors LLC cut its holdings in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 1.8% during the 1st quarter, according to its most recent 13F filing with the Securities and Exchange Co… [+6561 chars]"
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"Pinnacle Bancorp Inc. Decreases Holdings in Amazon.com, Inc. (NASDAQ:AMZN)","Pinnacle Bancorp Inc. decreased its stake in Amazon.com, Inc. (NASDAQ:AMZN) by 0.3% in the first quarter, according to the company in its most recent Form 13F filing with the Securities & Exchange Commission. The institutional investor owned 24,470 shares of …",https://www.etfdailynews.com/2024/07/04/pinnacle-bancorp-inc-decreases-holdings-in-amazon-com-inc-nasdaqamzn/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/amazoncom-inc-logo-1200x675.jpg&w=240&h=240&zc=2,2024-07-04T09:38:41Z,"Pinnacle Bancorp Inc. decreased its stake in Amazon.com, Inc. (NASDAQ:AMZN) by 0.3% in the first quarter, according to the company in its most recent Form 13F filing with the Securities &amp; Exchang… [+6689 chars]"
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"Guyasuta Investment Advisors Inc. Trims Stock Holdings in Amazon.com, Inc. (NASDAQ:AMZN)","Guyasuta Investment Advisors Inc. cut its holdings in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 0.6% during the first quarter, HoldingsChannel.com reports. The fund owned 146,153 shares of the e-commerce giant’s stock after selling 900 shares during the qua…",https://www.etfdailynews.com/2024/07/04/guyasuta-investment-advisors-inc-trims-stock-holdings-in-amazon-com-inc-nasdaqamzn/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/amazoncom-inc-logo-1200x675.jpg&w=240&h=240&zc=2,2024-07-04T09:38:41Z,"Guyasuta Investment Advisors Inc. cut its holdings in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 0.6% during the first quarter, HoldingsChannel.com reports. The fund owned 146,153 shares of the e-co… [+6551 chars]"
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"Howard Financial Services LTD. Raises Position in Amazon.com, Inc. (NASDAQ:AMZN)","Howard Financial Services LTD. lifted its stake in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 1.4% during the first quarter, according to its most recent disclosure with the Securities and Exchange Commission. The firm owned 24,124 shares of the e-commerce g…",https://www.etfdailynews.com/2024/07/04/howard-financial-services-ltd-raises-position-in-amazon-com-inc-nasdaqamzn/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/amazoncom-inc-logo-1200x675.jpg&w=240&h=240&zc=2,2024-07-04T09:38:41Z,"Howard Financial Services LTD. lifted its stake in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 1.4% during the first quarter, according to its most recent disclosure with the Securities and Exchange … [+6624 chars]"
"{'id': None, 'name': 'Rlsbb.cc'}","saamaan1@yahoo.com (Master), Master",Control 2023 1080p AMZN WEB-DL H264-KHN,"Awards 1 win & 1 nomination See more awards » Plot: British Home Secretary Stella Simmons drives home one night while engaging in an affair with the Prime Minister. A mysterious man remotely hijacks her self-driving car, forcing her on a rampage through Londo…",https://rlsbb.cc/control-2023-1080p-amzn-web-dl-h264-khn/,,2024-07-04T04:58:05Z,"Awards 1 win &amp; 1 nomination See more awards »
Plot: British Home Secretary Stella Simmons drives home one night while engaging in an affair with the Prime Minister. A mysterious man remotely hij… [+1510 chars]"
"{'id': None, 'name': 'Rlsbb.ru'}",Master,Control 2023 1080p AMZN WEB-DL H264-KHN,"Awards 1 win & 1 nomination See more awards » Plot: British Home Secretary Stella Simmons drives home one night while engaging in an affair with the Prime Minister. A mysterious man remotely hijacks her self-driving car, forcing her on a rampage through Londo…",https://rlsbb.ru/control-2023-1080p-amzn-web-dl-h264-khn/,,2024-07-04T04:37:41Z,"Awards 1 win &amp; 1 nomination See more awards »
Plot: British Home Secretary Stella Simmons drives home one night while engaging in an affair with the Prime Minister. A mysterious man remotely hij… [+612 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",,Amazon.com Inc (AMZN): Why Is It the Biggest AI Story Right Now?,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_0f2bec88-8f97-48b0-b5a0-fe35d34454b5,,2024-07-04T03:37:57Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
"{'id': None, 'name': 'Biztoc.com'}",investorplace.com,Jeff Bezos Just Sold Nearly $5 BILLION of Amazon (AMZN) Stock,"Amazon (NASDAQ:AMZN) stock is in the red today after a new filing shows that company founder Jeff Bezos sold 25 million shares of AMZN stock for a jaw-dropping $4.93 billion. Indeed, the billionaire made $197.20 per share on the sale, adding to his already va…",https://biztoc.com/x/a29878f9b330bd02,https://biztoc.com/cdn/a29878f9b330bd02_s.webp,2024-07-03T22:14:31Z,"Amazon (NASDAQ:AMZN) stock is in the red today after a new filing shows that company founder Jeff Bezos sold 25 million shares of AMZN stock for a jaw-dropping $4.93 billion. Indeed, the billionaire … [+134 chars]"
"{'id': None, 'name': 'MarketWatch'}",Bill Peters,"Saks Fifth Avenue, Neiman Marcus could join forces with Amazon's backing: report","Saks Fifth Avenue’s owner could soon acquire Neiman Marcus and get a financial boost from Amazon, Wall Street Journal reports",https://www.marketwatch.com/story/two-more-luxury-fashion-players-could-join-forces-with-the-backing-of-amazon-report-says-8e92071a,https://images.mktw.net/im-70540164/social,2024-07-03T21:05:39Z,"Upscale fashion retail chains Saks Fifth Avenue and Neiman Marcus could soon join forces and get a financial boost from Amazon.com Inc., according to a report on Wednesday, as luxury brands consolida… [+2040 chars]"
"{'id': None, 'name': 'Biztoc.com'}",theglobeandmail.com,"Saks owner to buy Neiman Marcus with help from Amazon, media reports","The parent of Saks Fifth Avenue sealed a US$2.65-billion deal to buy rival Neiman Marcus with help from Amazon AMZN-Q, taking a minority stake in the new company, the Wall Street Journal reported on Wednesday, citing people familiar with the matter.
Neiman Ma…",https://biztoc.com/x/7c80960136eced47,https://biztoc.com/cdn/7c80960136eced47_s.webp,2024-07-03T20:47:34Z,"The parent of Saks Fifth Avenue sealed a US$2.65-billion deal to buy rival Neiman Marcus with help from Amazon AMZN-Q, taking a minority stake in the new company, the Wall Street Journal reported on … [+144 chars]"
"{'id': None, 'name': 'Investopedia'}",Naomi Buchanan,Saks Fifth Avenue Parent Reportedly Set to Buy Neiman Marcus,"The parent company of Saks Fifth Avenue, HBC, reportedly signed a $2.65 billion deal to buy a rival luxury retailer, Neiman Marcus, according to reports on Wednesday.",https://www.investopedia.com/saks-fifth-avenue-parent-reportedly-buying-neiman-marcus-amazon-salesforce-8673724,https://www.investopedia.com/thmb/2id1c0fbeg0bNndPQ3TbvMbPrY4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-2152081848-6034c394290e49ecb437405e089ca74b.jpg,2024-07-03T20:43:42Z,"<ul><li>The parent company of Saks Fifth Avenue, HBC, reportedly signed a $2.65 billion deal to buy rival luxury retailer Neiman Marcus.</li><li>The merger has been approved by both companies' boards… [+1063 chars]"
"{'id': None, 'name': 'Rlsbb.cc'}",saamaan1@yahoo.com (Master),The Mega-Brands That Built America S02 720p AMZN WEB-DL H264-NTb,"The innovations, failures and incredible achievements of some of the most successful businesses in history, from megastores like Costco and Walmart to shipping giants like FedEx and UPS, that forever changed the way Americans live.Links: HOMEPAGE – iMDBThe.Me…",https://rlsbb.cc/the-mega-brands-that-built-america-s02-720p-amzn-web-dl-h264-ntb/,,2024-07-03T20:26:32Z,"The innovations, failures and incredible achievements of some of the most successful businesses in history, from megastores like Costco and Walmart to shipping giants like FedEx and UPS, that forever… [+516 chars]"
"{'id': None, 'name': 'Rlsbb.ru'}",Lisa,The Mega-Brands That Built America S02 720p AMZN WEB-DL H264-NTb,"The innovations, failures and incredible achievements of some of the most successful businesses in history, from megastores like Costco and Walmart to shipping giants like FedEx and UPS, that forever changed the way Americans live.Links: HOMEPAGE – iMDBThe.Me…",https://rlsbb.ru/the-mega-brands-that-built-america-s02-720p-amzn-web-dl-h264-ntb/,,2024-07-03T20:11:03Z,"The innovations, failures and incredible achievements of some of the most successful businesses in history, from megastores like Costco and Walmart to shipping giants like FedEx and UPS, that forever… [+516 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",Reuters,"Saks owner to buy Neiman Marcus with help from Amazon, WSJ reports",Neiman Marcus went bankrupt in 2020 in part as pandemic-led lockdowns hampered demand for luxury goods.  The boards of Saks parent HBC and Neiman Marcus have...,https://finance.yahoo.com/news/saks-owner-buy-neiman-marcus-200614002.html,https://media.zenfs.com/en/reuters-finance.com/844aae566270e2e26f03231b65ff0a0f,2024-07-03T20:06:14Z,"(Reuters) -The parent of Saks Fifth Avenue sealed a $2.65 billion deal to buy rival Neiman Marcus with help from Amazon (AMZN), taking a minority stake in the new company, the Wall Street Journal rep… [+1379 chars]"
"{'id': None, 'name': 'Rlsbb.cc'}","saamaan1@yahoo.com (Master), Master",Hard Knocks 2001 S22E01 720p AMZN WEB-DL H264-NTb,"Season 22, Episode 01 – NFL Films’ award-winning series documenting the daily routines of NFL teams during the preseason. The Baltimore Ravens were featured in the first season in 2001 and the show has since gone on to cover the Dallas Cowboys (2002, 2008), K…",https://rlsbb.cc/hard-knocks-2001-s22e01-720p-amzn-web-dl-h264-ntb/,,2024-07-03T18:31:51Z,"Season 22, Episode 01 NFL Films’ award-winning series documenting the daily routines of NFL teams during the preseason. The Baltimore Ravens were featured in the first season in 2001 and the show has… [+952 chars]"
"{'id': None, 'name': 'Rlsbb.cc'}","saamaan1@yahoo.com (Master), Master",Mascarpone The Rainbow Cake 2024 1080p AMZN WEB-DL H264-CHDWEB,"Maschile Plurale (original title) Plot: After three years, Antonio and Luca are reunited. Antonio, a successful pastry chef, still has feelings for Luca, who is now engaged to Tancredi. Antonio is convinced that the past has come back to help them.Genre: Come…",https://rlsbb.cc/mascarpone-the-rainbow-cake-2024-1080p-amzn-web-dl-h264-chdweb/,,2024-07-03T18:10:46Z,"Maschile Plurale (original title)
Plot: After three years, Antonio and Luca are reunited. Antonio, a successful pastry chef, still has feelings for Luca, who is now engaged to Tancredi. Antonio is c… [+2792 chars]"
"{'id': None, 'name': 'Rlsbb.ru'}",Robotnico,Hard Knocks 2001 S22E01 720p AMZN WEB-DL H264-NTb,"Season 22, Episode 01 – NFL Films' award-winning series documenting the daily routines of NFL teams during the preseason. The Baltimore Ravens were featured in the first season in 2001 and the show has since gone on to cover the Dallas Cowboys (2002, 2008), K…",https://rlsbb.ru/hard-knocks-2001-s22e01-720p-amzn-web-dl-h264-ntb/,,2024-07-03T17:51:08Z,"Season 22, Episode 01 NFL Films' award-winning series documenting the daily routines of NFL teams during the preseason. The Baltimore Ravens were featured in the first season in 2001 and the show has… [+834 chars]"
"{'id': None, 'name': 'Macdailynews.com'}",MacDailyNews,Apple shares hit new all-time intraday and closing highs,"In Nasdaq trading today, shares of Apple Inc. rose to hit new all-time intraday and closing highs. Apple’s all-time intraday high was set on…
The post Apple shares hit new all-time intraday and closing highs appeared first on MacDailyNews.",https://macdailynews.com/2024/07/03/apple-shares-hit-new-all-time-intraday-and-closing-highs-81/,https://149359564.v2.pressablecdn.com/wp-content/uploads/2021/11/211111_apple_logo.png,2024-07-03T17:40:29Z,"In Nasdaq trading today, shares of Apple Inc. (AAPL) rose $1.28, or 0.58%, to $221.55, a new all-time closing high. Today’s intraday high was $220.38, also an all-time high for Apple stock.
Apples 5… [+1588 chars]"
"{'id': None, 'name': 'Biztoc.com'}",theglobeandmail.com,Jeff Bezos to sell Amazon shares worth about US$5-billion after stock hits record high,"Amazon AMZN-Q founder and executive chair Jeff Bezos is planning to sell almost $5-billion worth of shares in the e-commerce giant, a regulatory filing showed, after its stock hit a record high.
The proposed sale of 25 million shares was disclosed in a notice…",https://biztoc.com/x/2caf7940cd36bcd0,https://biztoc.com/cdn/2caf7940cd36bcd0_s.webp,2024-07-03T15:43:53Z,"Amazon AMZN-Q founder and executive chair Jeff Bezos is planning to sell almost $5-billion worth of shares in the e-commerce giant, a regulatory filing showed, after its stock hit a record high.The p… [+143 chars]"
"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Nasdaq 100 Notches Record Daily Close, Boosted By Mega-Cap Giants, Fed Rate Cut Optimism - Apple (NASDAQ:AAPL), Advanced Micro Devices (NASDAQ:AMD)","The tech-heavy Nasdaq 100 Index closed Tuesday’s session at 20,011 points, rallying 1% and marking the highest daily closing price ever recorded,
Shares of Microsoft Corp. MSFT, Apple Inc. AAPL, and Amazon.com Inc. AMZN – together comprising 20% of the tech i…",https://biztoc.com/x/9f8f2195ef8bcb8f,https://biztoc.com/cdn/9f8f2195ef8bcb8f_s.webp,2024-07-03T14:17:32Z,"The tech-heavy Nasdaq 100 Index closed Tuesdays session at 20,011 points, rallying 1% and marking the highest daily closing price ever recorded,Shares of Microsoft Corp. MSFT, Apple Inc. AAPL, and Am… [+127 chars]"
"{'id': None, 'name': 'Observer'}","Alexandra Tremayne-Pengelly, Alexandra Tremayne-Pengelly",Sun Valley 2024 Guest List: Who Is (and Isn’t) Attending?,"Allen & Co.'s ""summer camp for billionaires"" is right around the corner, with some notable new attendees.",https://observer.com/2024/07/sun-valley-allen-co-conference-guest-list/,https://observer.com/wp-content/uploads/sites/2/2024/07/Untitled.png?quality=80,2024-07-03T13:45:04Z,"Shari Redstone, Bob Iger, Rupert Murdoch and Sam Altman all attended the Sun Valley conference last year. Photos by Kevin Dietsch/Getty Images and Drew Angerer/Getty Images
The mountain resort of Su… [+5633 chars]"
"{'id': None, 'name': 'Forbes'}","Trefis Team, Contributor, 
 Trefis Team, Contributor
 https://www.forbes.com/sites/greatspeculations/people/trefis/",Will VeriSign Stock Recover To Its 2021 Highs Of Around $250?,"VeriSign stock (NASDAQ: VRSN), a domain name provider, currently trades at $175 per share, around 30% below its peak level of $255 seen in December 2021.",https://www.forbes.com/sites/greatspeculations/2024/07/03/will-verisign-stock-recover-to-its-2021-highs-of-around-250/,https://imageio.forbes.com/specials-images/imageserve/60aca23e9185cc8504b5b640/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-07-03T13:00:00Z,"UKRAINE - 2021/04/26: In this photo illustration, the Verisign logo is seen on a smartphone and a pc ... [+] screen. (Photo Illustration by Pavlo Gonchar/SOPA Images/LightRocket via Getty Images)
SO… [+6203 chars]"
"{'id': None, 'name': ""Investor's Business Daily""}",Investor's Business Daily,"Dow Jones Futures Fall After Surprise Jobs Data, Fed Minutes Next; Tesla Stock Extends Gains","Tesla stock looked to extend its win streak to seven sessions, with more gains Wednesday.",https://www.investors.com/market-trend/stock-market-today/dow-jones-sp500-nasdaq-jobs-data-tesla-stock-tsla/,https://www.investors.com/wp-content/uploads/2019/01/stock-FederalReserve-snow-11-shutter.jpg,2024-07-03T12:34:43Z,"Dow Jones futures and the major stock indexes dropped ahead of a shortened trading session Wednesday as Wall Street reacted to an employment report, with Federal Reserve comments later in the day. Sh… [+6506 chars]"
"{'id': None, 'name': ""Investor's Business Daily""}",Investor's Business Daily,"Microsoft Snags One Crown, Snatches Another From Nvidia","Microsoft topples Nvidia on list of new buys by top funds, joining 12 stock in this elite club.",https://www.investors.com/etfs-and-funds/mutual-funds/best-mutual-funds-microsoft-stock-topples-nvidia/,https://www.investors.com/wp-content/uploads/2024/07/Stock-KingApe-adobe.jpg,2024-07-03T12:00:27Z,"Like King Kong swatting away an airplane buzzing around his head, Microsoft (MSFT) just shoved Nvidia (NVDA) off its perch at the top of the list of new buys by the best mutual funds. In recent weeks… [+4266 chars]"
"{'id': None, 'name': 'Investopedia'}",Naomi Buchanan,"As Big Tech Ramps Up AI Spending, Investors Worry Whether AI Costs Will Pay Off","Big tech companies including Microsoft, Alphabet, Meta, and Amazon are ramping up spending on artificial intelligence. Some investors worry that the payoff might not be worth the cost.",https://www.investopedia.com/as-big-tech-ramps-up-ai-spending-investors-worry-whether-costs-will-pay-off-8669532,https://www.investopedia.com/thmb/adF9CelMoQui8aZkDGMH-LNQ1vI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-2153044112-467e27ac7db54456aca11622a255d2c7.jpg,2024-07-03T11:00:00Z,"<ul><li>Big technology companies, including Microsoft, Alphabet, Meta, and Amazon, are set to spend over $1 trillion in coming years on artificial intelligence (AI) investments, according to Goldman … [+4735 chars]"
"{'id': None, 'name': 'Forbes'}","Trefis Team, Contributor, 
 Trefis Team, Contributor
 https://www.forbes.com/sites/greatspeculations/people/trefis/",Nio’s Deliveries Doubled In June. Why Is The Stock Still Lagging?,"Chinese luxury electric vehicle maker Nio stock, has declined by about 47% year-to-date. This compares to rival Xpeng stock which is down by 29% over the same period.",https://www.forbes.com/sites/greatspeculations/2024/07/03/nios-deliveries-doubled-in-june-why-is-the-stock-still-lagging/,https://imageio.forbes.com/specials-images/imageserve/62a81b65702fb4c05e2dfd72/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-07-03T11:00:00Z,"CHENGDU, CHINA - APRIL 19: A NIO logo is displayed in the window of NIO showroom on April 19, 2022 ... [+] in Chengdu, Sichuan Province of China. (Photo by Yuan Kejia/VCG via Getty Images)
VCG via G… [+4409 chars]"
